track,artist,release_date,repeated
"Departute for Greece: The Letter - From ""Victory""",Eleni Karaindrou,2010-12-01,10
What He Wrote,Laura Marling,2010-01-01,10
Esmet ChiChie,Arash,2017-06-25,10
Playing Love,Isak Danielson,2019-03-29,10
Waltz By The River,Eleni Karaindrou,2009-02-06,10
Evenfall,Sadie Hume,2022-02-17,10
Van den Budenmayer: Concerto en mi mineur - SBI 152 - Version de 1798,Zbigniew Preisner,1991,10
Now You Can Sleep,Crows in the Rain,2019-04-22,10
Ey Sareban,Mohsen Namjoo,2005-11-01,10
"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]",Johannes Brahms,2015-09-18,10
Love Theme - From Nuovo Cinema Paradiso,Ennio Morricone,2020-04-06,10
"Happy Homecoming, Comrade: Return - Live",Eleni Karaindrou,2006-09-15,10
Blues sur Seine,Paolo Fresu,2019-01-25,10
La vérité,Mano Vecina,2020-02-18,10
Kaleidoscope,A Great Big World,2015-11-13,10
Time to Grow,Collective Efforts,2010-02-15,10
HEAVEN'S GATES (feat. Izzy Camina) - Manila Killa Remix,Devault,2022-09-02,10
The Last of Us,Gustavo Santaolalla,2013-06-07,10
"Nisi Dominus, RV 608: 4. Cum dederit dilectis suis (Arr. Cello)",Antonio Vivaldi,2019-09-20,10
Bianca Stratford,BB Bean,2021-10-01,10
L'Inverno (Winter) Op. 8 No. 4 in F minor: II. Largo,Antonio Vivaldi,2019-10-25,10
"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",Rogerio Tutti,2021-01-23,9
There Marched the Soldiers,The Red Army Choir,1996-02-16,9
Silent Dreams,The City of Birches,2020-11-20,9
The Volga Burlack's Song,The Red Army Choir,1996-02-16,9
Jill's Theme - 2016 Version,Ennio Morricone,2016-11-11,9
Laylaa Khanoom,Sima Bina,2015-11-17,9
Shrike,Hozier,2019-03-01,9
"Nocturnes, Op. 9: No. 2, Andante in E-flat major (Arranged for Saxophone and Piano)",Amy Dickson,2018-10-26,9
"The Flower Duet (From ""Lakmé"")",Katherine Jenkins,2006-01-01,9
Nocturne in Green,Rand Aldo,2019-12-06,9
